Service Description,Service Classification
PubNative is an API-based mobile publisher platform focused on native advertising. The PubNative API allows developers to request multiple building blocks in order to integrate native advertising into their applications. The API is designed to work for both server-side and client-side applications. PubNative is a service that allows developers to integrate defined and fully customized native ads into their mobile applications and mobile websites.,Advertising
"Search API provides text search, boolean search, range searches, faceting, and highlighting integrations. It is available in JSON protocol with HTTPS auth (over SSL).",Search
"NuaPay API allows merchants to collect payments using the SEPA (Single Euro Payments Area) Direct Debit payment method and to integrate this payment method into their systems. To implement, add the Mandate and the Direct Debit Schedule. Protocols available in HTTP, JSON, and REST. Access with authentication via basic authentication, Key, and OAuth2.",Payments
"The Bol.com Plaza API provides useful tools for merchants and entrepreneurs who offer items via bol.com and have a bol.com sales account. With this API, users can view all open orders, see and process outstanding returns, note delivery times and price changes, forward stock change, and much more. Bol.com is the biggest online retailer from the Netherlands. Bol.com sells a variety of products, including DVDs, games, music, electronics, computers, and books.",eCommerce
"The Urban Things Bristol API enables developers to integrate transportation data for Bristol and the West of England region into their applications. This includes real-time arrivals, departures, route maps, stop locations, and disruption info for any bus stop or train station. It also offers journey planning, car park occupancy info, and more.",Transportation
"The EMAIL Validator API allows for developers to pass an email string to validate email addressed, and identify disposable/temporary email or free email provider addresses.",Email
"SendPulse is an integrated platform for sending email and text messages. The SendPulse API access marketing automation features, including e-mail, text and web push messaging. Available in REST protocol and API Key authentication.",Email
Twingly is a blog search and data mining service. The LiveFeed API is based in SOAP and allows for the receiving of a continuous real-time (firehose) stream of blog data. It offers livefeed subscriptions to be delivered in XML data.,Social
Twingly is a blog search and data mining service. The Twingly Search API (previously known as Analytics API) intends to provide a commercial XML over HTTP API that enables machine access to Twingly is blog search index.,Social
"Noble Web Studio is a web development agency. Their Recharge Solution allows both B2B and B2C recharge services. The Noble Recharge API integrates payments into applications in JSON format. Recharge services aim to make profit with the implementation of electricity, gas, and energy billing.",Payments
"CloudFlare provides fast and secure content delivery network for websites and applications. The CloudFlare API exposes CloudFlare infrastructure by using a standardized programmatic interface. With the RESTful CloudFlare API, developers can send HTTP requests and receive JSON responses to integrate security, domains, and hosting features.",Security
"North American Bancard (NAB) is a payment processing platform designed to be developer friendly. This platform offers multi currency support, recurrent billing, virtual terminal, Apple Pay support, and fraud prevention. The Velocity API is used for full integration with Velocity Managed Commerce Services Platform which offers eCommerce, Mobile, and Back Office payment support. This API can be integrated by using REST or SOAP protocols, uses Tokens for authentication, and returns data in JSON or XML formats.",Payments
LabCollector is a laboratory inventory management system for lab supplies and samples. The LabCollector LIMS manages laboratory information working with independent and interactive modules. The API integrates lab data via I-Collector in REST and XML formats. Authentication is possible via HTTP basic auth.,Science
"MultiWebPay is a payment service provider that offers multiple payment solutions for websites or applications. Payment methods include PayPal, Debit Cards, Bitcoin, Payza, Wire Transfers, Credit Cards and many more. MultiWebPay demonstrates how to integrate payments into merchant applications on the main API guide site. API methods include donation, subscription, price, values, and payment forms.",Payments
"The Coconut API allows developers to integrate cloud video encoding into their projects and applications. Coconut can be used to encode a single video or thousands per day. There is less than one second of queue time between when a job is requested and the encoding process begins. Coconut supports multi-screen transcoding (Android, iOS, browsers, etc.) and Apple HTTP Live Streaming. Users can export their encoded video to any CDN.",Video
"The Google Trends API offers a layer for Google Trends data. It can be used to retrieve keyword popularity data by location, and date. This API makes use of several methods such as returning the current top 20 trending topics for a desired location (hotTrends), returning the top 30 searches of the last month (top30in30), or returning data by category (categoryTopCharts).",Search
"The Australia Car Registration API allows users look up car number plates in Australia. For instance, users of the application would enter a car registration plate like DB6008, and it would return that the number plate belongs to a 2007 Toyota Camry. The API uses SOAP XML standard format (ASMX), ideal for .NET applications, but also suitable for PHP. More information about the API is available upon contacting info@openmerchantaccount.com.",Travel
"The Omise API integrates payments and refunds features into mobile applications. Developers can implement by working with REST format and authenticate with token. Omise provides guides to interact with cards, transfers, and banks. Omise is a payment service for Southeast Asia, based in Thailand.",Payments
"The Clipchamp API lets you embed a button on your website or web app that your visitors can click on to record, compress, convert & upload videos to you. It comes with a number of resolution (incl. 480p, 720p, 1080p), format (incl. MP4 and WebM) and compression (5 levels) options. Your users' video files get processed (converted & compressed) on the client before they get uploaded to you, resulting in smaller files and faster uploads. This helps reduce or eliminate costs involved in server-side video transcoding. The API is built using HTML5 (no Flash involved) and JavaScript. It works in desktop and mobile browsers and can be adjusted to a wide range of use cases through its customization parameters.",Video
"The JusPay API integrates payments into mobile applications. Protocols include JSON and REST. Developers can authenticate with Key. JusPay is a mobile payments company whose featured products include a payments browser, a checkout application and instant Buy services.",Payments
"The GCX.io API allows developers to integrate the ability to invest, trade, or pay with gold into their websites and applications. GCX allows users to possess digital gold that is fully backed by LBMA-approved physical gold. Users' gold holdings are auditable against physical bullion reserves held by Brinks at their facility in London, Heathrow.",Financial
"Hedgeable is a sophisticated digital wealth management platform. The Hedgeable API allows developers to integrate their application with Hedgeable, which enables them to pull back client data and analytics, build custom UI and applications, and outsource wealth management capabilities to Hedgeable. The API is REST based, and is currently in beta.",Financial
"CommerceJS is a powerful, cross device eCommerce API for developers and designers. CommerceJS allows developers to rapidly integrate checkout and product display functions into their own websites and applications. CommerceJS is powered by Chec, a service designed to make it easier for people to sell physical products, digital goods, and services online. Core features of the API include; built in fulfillment, tax support, fraud protection, payment gateways, order management, checkouts and helper functions. As a developer or designer you no longer need to compromise the design and functionality of your eCommerce solution as CommerceJS fits around your design and code. Choose to only enable the features and functionality you need for your project and rapidly implement the solution. As we are a cloud based service, once you're done with development you can hand off the project and let us take care of any updates or changes that need to be made. All of our API is are designed to work either alone or with each other. Our API is are organized around REST and are designed to have predictable, resource-oriented URLs that use HTTP response codes to indicate API errors. We're building the plumbing for eCommerce with our modular, decentralized approach to eCommerce solutions.",eCommerce
"The Free FengShui REST API allows to integrate compatibility properties into own applications. Intuition and ancient life wisdom can be part of development practices, because it aims to benefit humans and situations as much as possible. FengShui Calculators: KUA Number, Chineese Sign, Astrological Allies, Astrological Enemy, Peach Blossom Animal, Love Compatibility, Bussiness Compatibility, Element of the Hour, Day, Month, Year, Lucky Dimension, Child Gender, Eight Mansions, Flying Star and Four Pillars. Samples available at https://github.com/fengshui-api/restApi",Tools
"The allmysms HTTP API allows developers to send SMS over HTTP or HTTPS. Allmysms is a bulk SMS service that provides international messaging, real-time acknowledgement, and STOP management. It is connected to over 700 operators worldwide, allowing users to send SMS within France as well as abroad. The API documentation is provided solely in French.",Messaging
"The allmysms SOAP API allows developers to send SMS text messages programmatically. Allmysms is a bulk SMS service that provides international messaging, real-time acknowledgement, and STOP management. It is connected to over 700 operators worldwide, allowing users to send SMS within France as well as abroad. The API documentation is provided in French or English.",Messaging
"The Financial Times API is available in two versions. The first version provides access to articles, slideshows, and blog posts. The second version provides access to basic information about FT articles, blog posts, and FastFT posts. This second version of the API is still under development. The Financial Times is a newspaper that focuses on business and economics.",Financial
"The Pyton Leisure Portal provides an API for booking and selling holiday getaways, tours, and packages. This API can be integrated into your travel website, call-center, and travel agency and also provides tools for creating custom tour experiences. Pyton is a travel technology company.",Travel
"Zender offers a cloud based email delivery service. It supports SMTP and HTTP. The Zender API is REST based and returns data in JSON format. This API requires registration to access documentation. The Zender API is provided by Sharptag, a business and software development firm located in Lebanon.",Email
"The AutoScout24 API allows developers to manage the life cycle of classified listings on the AutoScout24 platform. Users of the API are able to read and write vehicle data, access make/model information or create classified ads. The API offers a RESTful interface to interact with the resources.",Transportation
"Instacount is a cloud based counting service that features sharded counters. A sharded counter is a counter whose count is stored in independent shards, and its purpose is increasing performance. This platform offers event tracking, entity counts, and public activity tracking. The Instacount API is REST based, returns data in JSON format, and uses API Keys for authentication.",Tools
"The DealsPricer API is used to integrate a coupon/price comparison system to existing applications. It supports price comparison, coupons, and deals from more than 1000 E-commerce stores in over 25 countries including United States, United Kingdom, Malaysia, Singapore, and India. This API returns data in JSON format and requires API Keys for authentication.",eCommerce
"Bitbond is a Bitcoin lending system. This system works as an intermediary between Bitcoin investors and borrowers. The nature of cryptocurrencies allows for a global loan market. The Bitbond API is used to gain access to this peer-to-peer network, create an investment client, and obtain historical data about loans and borrowers. This API returns data in JSON format, and uses OAuth 2 for authentication.",Financial
The Tradable platform API allows developers to embed real-time financial trading features into their apps across multiple brokerages and asset classes via one simple integration. Users can trade their accounts directly from their favorite apps.,Financial
"Nexxt Mobile Voice & SMS API allows developers to implement the voice and sms services into their application, enabling their users to use the service directly from the application. Nexxt Mobile is a German mobile communication services provider.",Telephony
"The Varmail API gives developers the ability to POST emails to their inboxes programmatically and allows them to integrate this function into their own projects and applications. This API is offered free of charge. The Varmail API will work anywhere that HTTP does, and setup is designed to be brief.",Email
"The pdflayer API offers a customizable HTML to PDF conversion system. This system features a full CDN, personalized support, and extended statistics. pdflayer is REST based and uses API Keys for authentication. The company behind pdflayer, apilayer, is an Austrian based technology company that helps in the automatizing and outsourcing of complex processes.",Tools
The Shoprocket API allows developers to personalize their users' shopping experience by using integrating the API into their application. Shoprocket provides eCommerce SaaS.,eCommerce
"The Physical Oceanography Distributed Active Archive Center (PO.DAAC) is part of NASA is Earth Observing System Data and Information System (EOSDIS). PO.DAAC's purpose is to store oceanography and climatography related data obtained by NASA. PO.DAAC also serves as a pathway to other related archives and provides relevant tools making their datasets easily consumable and applicable. NASA's PO.DAAC Search Dataset API gives users the ability to search PO.DAAC is database. Possible queries include: parameters: datasetId, shortName, startTime, endTime, bbox, satellite, instrument, etc. parameters: datasetId, shortName, startTime, endTime, bbox, and others.",Search
CardPay's Payment API is a payment management platform where users can receive payments and check payment statuses. The API can operate via directing customers to CardPay is Payment Page or to a merchants External Payment Page. Both methods are managed and verified by CardPay. CardPay is PCI DSS certified and compliant and all connections are secured through Thawte DV SSL certificates.,Payments
"AdRoll is an advertising service that offers cross-platform and cross-device ad placement. AdRoll's API gives users access to their AdRoll data such as campaigns, ads, and advertisers. Functionality also includes tools for organization, invoicing, and marketing data acquisition.",Advertising
NASA's Earth API gives users access to Earth observation data. The Earth API is powered by the Google Earth Engine and consists of a database of images from Landsat 8. Landsat 8 is NASA satellite that takes images of the entire Earth every 16 days. Users can query the database for images of a specific place at a specific date.,Mapping
"The Switch Payments API is an integrated payment platform. The Switch Payments API allows users to accept payments from upwards of 200 different Alternative Payment Methods (APM) from anywhere in the world. Users can create new payments, authorize or refund payments, check payments status, etc. Switch Payments API is available in 44 countries including the US, Canada, Europe, and parts of Asia. Client libraries include Python, Ruby, Php, Node and Java.",Payments
The AnywhereCommerce REST API allows developers to access and integrate the functionality of AnywhereCommerce with other applications. Public documentation is not available; API access comes with account service. AnywhereCommerce provides merchants payment platforms and online point-of-sale (POS) functionality and support.,Payments
The NavVis REST API allows developers to access and integrate the functionality of NavVis with other applications and to create new applications. Public documentation is not available; API access comes with account service. NavVis is an indoor mapping and indoor navigation service.,Mapping
"The Equitywerks API allows developers to integrate their application with the Equitywerks services, providing users e.g. commodity traders, equity traders, and other portfolio managers trade accounting and portfolio accounting solutions. The API provides a programmable interface to the core engine, which tracks orders, trades, and position; determines P&L; provides daily statements; and matches trades (P&S).",Financial
UberRUSH API compliments the transactional capacity of Uber is on-demand logistics and delivery platform. It is simply a tool that allows business enterprises and Uber drivers to cooperate in the delivery of items to final destinations. Business enterprises can adopt the RESTful API as a weor app-based checkout feature for streamlining and fast-tracking on-demand delivery services. API is currently a beta release and its documentation is accessible on request.,Transportation
"The Paga Business REST API allows developers to access and integrate the functionality of Paga with other applications. Some example API methods include registering customers, transferring money, and managing payments. Paga is an online payment, banking, and airtime/data purchasing platform.",Payments
"The Planwise Planning & Modeling API is a financial analytics API. It is classified as a calculation framework and processes financial data for users such as debt, income, spending, depreciation, appreciation, and amortization. Planwise offers data simulations extending up to 50 years in the future and allows for third-party integration. It is a RESTful API and is JSON formatted.",Financial
"The Autochartist Technical Analysis API is a XML and JSON formatted API that offers users financial data analysis. Autochartist provides their data in a variety of ways including: Fibonacci patterns, chart patterns, and horizontal levels. Autochartist analyzes global financial markets every 15 minutes providing up-to-date information. The are creators of the Autochartist chart pattern recognition platform, MT4 plug-in, and PowerStats.",Financial
"Through implementation of Cisco's PSIRT openVuln API, developers can simplify and expedite their systems' security measures. PSIRT stands for Product Security Incident Response Team and this RESTful API gives developers access to Cisco's Security Vulnerability information. Cisco offer is their Security data in all major security formats including: CVE, CVSS, CVRF, and OVAL. A Cisco account is required for documentation.",Security
The Volo Commerce API allows developers to integrate their application with the Volo commerce platform. More information is available upon contacting the provider. Volo Commerce is a provider of multi channel ecommerce software and services.,eCommerce
"The uk.boundaries.io API is a user-friendly REST API that allows developers to integrate multiple GeoJSON postal boundaries results into applications, websites, and systems. This can be such boundaries as: UK Postal Code (ex. ZE1 0AE) ,Sector, District, City, and Wards Boundaries.",Mapping
"smsgatewayhub API provides developers a way to integrate SMS Gateway services into their applications, enabling them to send multile sms, check report, and more. More information about the API is available upon contacting the provider.",Messaging
"The FNA Platform API allows developers to access financial network data in the form of a time series. The FNA platform is a cloud-based solution that is designed to model, analyze, and visualize financial networks. It can connect to databases or online data sources and automate data analytics to enable real-time, data-based decision-making.",Financial
"With the Pepipost API, you can connect Pepipost to a CMS, your application server, blog platform, and more for instant sending of transactional mails. The custom developed HTTP API can send up to 1000 emails per API call. Since a single API call can suffice for multiple email addresses, it can reduce bandwidth costs significantly. In addition, you can track statistics for number of emails sent, bounces and spam complaints. Pepipost is a reliable and scalable email delivery engine.",Email
"The Deepviz API allows developers to interact with the Deepviz sandbox to submit malware samples and retrieve analysis reports on them. Deepviz is designed to help users analyze, correlate, and understand key information about malware. This may include whether the malware is well-known or unique to a given environment, the communication infrastructure used by the malware, and the behaviors of a specific object.",Security
"The Bulk SMS Gateway API is a service provided by KAPSYSTEM, a fast growing Bulk SMS Gateway/API Provider Company in India. Kapsystem offers promotional and transactional bulk SMS services and solutions. The Bulk SMS Gateway API can be provided to integrate on user applications and portals.",Messaging
"The Opencart API allows developers to integrate shopping cart functionality into their own websites and systems, as well as manage the checkout process. The API includes methods for creating, reading, updating, and deleting store data. Opencart is an open source shopping cart system and ecommerce solution. The API supports Opencart versions 1.5.x and 2.",eCommerce
"The Addrexx API allows developers to integrate address autocompletion and verification into their projects and applications. Addrexx can validate addresses in more than 200 countries and provides details down to the apartment or suite level. This API can work with ecommerce solutions such as Magento, Bigcommerce, Shopify, 3DCart, Znode, Salesforce, Volusion, and NetSuite.",eCommerce
"The UnificationEngine API can be used to access UnificationEngineAPI endpoints, which can communicate with various connectors, such as Facebook, Twitter, LinkedIn, Xing, Weibo and more. With this API, you can also create your own connector and link it with UnificationEngine in the developer portal. UnificationEngine is Unified Inbox's Internet of Communications platform.",Messaging
"Stellar is a platform that helps developers in building financial products and applications. It features a decentralized distributed database, Multisig, and smart contracts. Horizon is Stellar's client-facing API server that connects to the ledger (Stellar Core). The Stellar Horizon API is REST based, and returns data in JSON format. It is used to submit transactions to Stellar Core, check status of accounts, subscribe to event streams, among other functions.",Financial
"The WhereIsMyTransport API allows developers to integrate journey planning, data feeds, announcements, timetable info, and travel warnings into their applications. This API is designed specifically for handling transport information for cities in South Africa and improving the commuter experience. WhereIsMyTransport is a platform for smart urban transportation that integrates formal and informal transport.",Transportation
"ArsenalPay is a payment processing platform based in Russia. It features payment module integration, mobile notification tools, mobile integration, and social network support. Also, ArsenalPay offers several rates for legal entities, and individuals. For security, it offers load protection, network vulnerability scanning, and system logfile analysis. Developers need to register to access API documentation.",Payments
"The Mac Address Lookup API provides tools for users to find vendors details based on Mac addresses. The API allows for searching using a Mac Address to get vendors information. The Mac Address Lookup API can process any kind of Mac addresses, accepts any text passed to it, can pass full or segmented addresses, and pass full or part of company addresses. A Mac Address (media access control address), or physical address, is a unique identifier assigned to network interfaces for communications on the physical network segment.",Tools
The Cricket [Unofficial] API is a project that is dedicated to providing an easy to use RESTful Cricket API for application developers. Currently Match API is up and running and Player API will be available soon. This API provides live Cricket scores along with detailed information about a particular cricket match.,Sports
"Mapme API is a RESTful builder tool for maps. Mounted as a service on Google Maps API, Mapme facilitates easy creation and customization of content on maps. Mapme maps can include layers, tags, moderation for crowdsourcing, activity feed, privacy settings, search, mobile compatibility and more. The API that comes with detailed documentation and full support conveys both HTTPS and HTTP requests, and returns responses in JSON format.",Mapping
"The Craft.ai API is an HTTP REST API that provides developers tools for using Craft.ai. Craft ai is an AI (Artificial Intelligence) engine created for developers, and is powered by a visual editor and the RESTful APIs. Users can add contextual and personalized automation in mobile, web and IoT applications.",Tools
"Tallyfy aims to provide a real-time business process management platform to facilitate business operations. The Tallyfy API intends to offer features such as building, copying and tracking processes, collaboration, and cross platform functionality.",Enterprise
The Reqres API is a hosted REST API that provides tools for responding to AJAX requests. Users can test front end applications against a real API. It conforms to REST principles and simulates real application scenarios such as testing a user authentication system.,Tools
"Serpstat is a website development company that focuses on SEO and analytics. The Serpstat platform is used for competitor analysis and keyword research. Serpstat offers 4 different plans, but the free option has no access to API. Metrics can be pulled from the Serpstat servers via the Serpstat API. This API uses personal Tokens for authentication, and returns domain, keyword, and advertising reports in JSON format.",Search
"The RocketReach API allows you retrieve rich contact info and social data for people and companies. The RocketReach API can retrieve peoples' personal and professional contact informationincluding email address, phone numbers, and profile informationfrom social websites such as LinkedIn, Twitter, Facebook, Angel.co, and Crunchbase. Users can search for people by name, title, company, location, profile keyword, or Linkedin URL. RocketReach has information on over 250 million people and is constantly crawling the web in order to add more individuals and to keep information up-to-date.",Email
The ThatNeedle Natural Language Processing API analyzes and converts search text into structured JSON. This allows for the use of semantic search processes and SQL query building. See the ThatNeedle API site for access to a demo and more information on getting started with the API.,eCommerce
The Google Knowledge Graph Search API is a tool that helps users find entities within the Google Knowledge Graph. Some of the features provided by the Google Knowledge Graph Search API are: get a ranked list of the most notable entities that match certain criteria; ability to predictably complete entities in a search box; and annotate and organize content using the Knowledge Graph entities. The Google Knowledge Graph is an innovative knowledge base used to enhance Google's search results with semantic-search information gathered from a variety of sources.,Search
"The SnapScan API is a RESTful-like API that provides authentication, error codes, pagination,and webhooks for developers utilizing the API's services. The SnapScan API provides tools for generating QR codes and URL structures, can query the status of payments that were made against merchant accounts, and mark the end of transaction periods and query all payments completed within associated periods. SnapScan is a mobile payments platform based in Cape Town, South Africa.",Payments
"The Twitter Ads API provides developers with programmatic access to advertising accounts. With this Advertising API, partners will be able to integrate their solutions to promote Tweets and Twitter accounts, schedule campaigns, retrieve analytics, manage audiences, and much more. Twitter Developer Services provides three levels of Twitter Ads API access to support partner development needs: developer, basic and standard (these levels are sequential and partners are not permitted to skip stages).",Advertising
"The Emailicious API provides tools for developers utilizing the Emailicious services. With Emailicious, users can develop their customer relations and heighten engagement with efficient email campaigns. There are tools to help manage lists, create customer profile pages, automate communications, subscription management and much more.",Email
"Use TextMagic SMS to build your messaging app. The API uses HTTP GET methods with returns in JSON. An API Key is required for authentication. Use TextMagic SMS to send and receive text messages, analyze inbound and outbound messages, schedule recurring messages, and process bulk text messages. The API also offers methods for creating message templates, managing contacts and distribution lists, checking message statistics, and more. See the extensive API documentation to get started with the API and for information on obtaining an API Key.",Messaging
"The Facebook Text Ratio API allows developers to determine the text ratio of an image. It is intended to determine whether a given image conforms to Facebook's text policy, which states that ads and sponsored stories in Facebook's news feed may not include images comprised of more than 20% text.",Advertising
"The Shodan API allows developers to access search engine data. Protocols in REST and authorization with Api Key are available to send requests and receive responses. Shodan is a search service that helps users to find Internet of Things interfaces, conduct market research, and monitor business security.",Search
The SearchMan App Store API allows developers access to the iOS App Store and Google Play. SearchMan offers access to a database of over 3.5 millions apps and their relevant metadata. SearchMan is a RESTful API and JSON formatted.,Search
"The PinnacleCart API allows to integrate shopping cart services into eCommerce applications. It can interact with JSON, SOAP, WSDL, and XML formats and it can be authenticated with username, password, and the use of a token. With the API, developers will be able to integrate customers, inventory, orders, categories, and products in addition to the shopping cart. PinnacleCart provides a web store building platform.",eCommerce
"The Horaires RATP API was created by an independent developer to allow users to retrieve RATP (Rgie Autonome des Transports Parisiens or Autonomous Operator of Parisian Transports) schedules for any given RER (train), Metro, or Tramway stop in real time. The RATP is a public transport operator based in Paris, France. This API's documentation is provided exclusively in French.",Transportation
"PayMaya is a financial company located in Philippines that develops online payment solutions. PayMaya tailors its services to businesses that cannot accept credit card payments, and functions as an intermediary. The Checkout API offers merchants a way to accept online payments, and also offers an express checkout feature. This API is REST based, and it supports webhooks. The developer will require an API key.",Payments
"The MOLGENIS API allows users to programmatically retrieve and modify data model entities and entity collections. It supports all CRUD methods, as well as resource collections paging and filtering and resource field expansion. MOLGENIS offers a suite of web databases for genotypes, phenotypes, QTL, and analysis pipelines. It can also serve as a software generator for building web databases for biologists.",Science
"The ePay Payment Solutions API allows to integrate payments into web services in SOAP protocol. Originally from Denmark, ePay additionally provides invoicing and subscription alternatives. To read documentation, visit http://tech.epay.dk/en/payment-web-service",Payments
"The PayU API allows to integrate payments into web services and mobile applications in JSON and REST protocols. Resources present how to create a new order via API, update notifications, and send refunds to the buyer's account. Developers require a Key to authenticate.",Payments
"The Amadeus Car Rental Airport Search API provides developers a way to integrate the Amadeus Car Rental Airport Search service with their applications, enabling their users to find out the price and type of car, for all car rental providers, near a specified airport. Amadeus is a technology company that provide services businesses and individuals relating to their travels.",Transportation
"The Amadeus Car Rental Geosearch API provides developers a way to integrate the Amadeus Car Rental Geosearch service with their applications, enabling their users to find out the price and type of car, for all car rental providers, in a specified geographical location. Amadeus is a technology company that provide services businesses and individuals relating to their travels.",Transportation
"Unbxd is a site search and recommendations platform for eCommerce applications. The Search API calls the Unbxd cloud server to add marketing search capabilities to an online store. This REST API uses API Key, Site Key, and Secret Key for authentication. Also, it returns data in JSON and XML format. Unbxd develops software tools for marketers and merchandisers, and is based in India.",eCommerce
"The GTX-Messaging SMPP API provides developers a way to integrate the GTX messaging service with their applications, enabling their users to use and implement SMPP interface for receiving and submitting messages from and to the gateway. GTX Messaging is based in Germany.",Messaging
"The Amadeus Train Extensive Search API provides developers a way to integrate the Amadeus Train Extensive Search service with their applications, enabling their users to search trains availability and prices for a single day or date range. Amadeus is a technology company that provide services businesses and individuals relating to their travels.",Travel
"The Amadeus Train Schedule Search API provides developers a way to integrate the Amadeus Train Schedule Search service with their applications, enabling their users to find all the possible destinations in the Rail Instant Search cache (used by Extensive Search above) from a given origin station on a given day. Amadeus is a technology company that provide services businesses and individuals relating to their travels.",Travel
"The Amadeus Rail-Station Autocomplete API provides developers a way to integrate the Amadeus Rail-Station Autocomplete service with their applications, enabling their users the full name and rail station ID of a rail station for use in searches. Amadeus is a technology company that provide services businesses and individuals relating to their travels.",Travel
"The Amadeus Rail-Station Information API provides developers a way to integrate the Amadeus Rail-Station Information service with their applications, enabling their users to retrieve the rail station information corresponding to an Amadeus UIC rail station ID. Only French and Italian stations are supported currently. Amadeus is a technology company that provide services businesses and individuals relating to their travels.",Travel
"Introduced as a replacement of the defunct Logs API, Mailgun Events API primarily facilitates email tracking. The functional infrastructure of the API allows users to monitor the conveyance of email communications to target recipients. Its data retention for paid account holders and free account holders is 30 days and two days respectively. Mailgun Events i authentication takes place through the HTTP Basic Auth model using an API key that is accessible after Mailgun account sign up. The RESTful API is fully documented and is designed to convey returns in JSON format.",Email
"Native Ads API is designed to help developers manage web advertisements and campaigns. This API's functionality offers modification tools to create, edit, and pull stats on ad content. It also offers a host of web widgets and ad formats to customize ads with the intent of improving user experience.",Advertising
"The Amadeus Flight Inspiration Search API provides developers a way to integrate the Amadeus Flight Inspiration Search service with their applications, enabling their users to find the prices of return flights from an origin city without necessarily having a destination, or even a flight date, in mind. Amadeus is a technology company that provide services businesses and individuals relating to their travels.",Travel
"The Avangate API provides access to Avangate's digital commerce solution for selling software and online services. It works with any revenue model, including subscriptions, usage-based, and more. Avangate is designed to focus on selling to individual customers. Users can interact with customers across any channel or touch point.",eCommerce
"The 10Duke File+ API is a dedicated file management and file conversion API for online files and media. This REST API provides an engine that allows large scale online file storage as well as the mapping of input files to a series of commands for producing file conversion by means of a simple configuration process. The File+ API can be licensed as a packaged application that can be deployed on premises or as a private cloud service. It can be licensed on an annual or monthly basis, depending on the deployment model. You can test the File+ API by accessing this demo: https://developer.10duke.com/file/tryIt.jsp",Tools
"The One Map Singapore API allows to integrate mapping features into applications. It provides REST protocols and Api Key authentication. One Map invites developers to create mashups with the JavaScript APIs available on the official site, that include Address Search, Agency Data Search, Static Map, Mashup, and Advanced Mashup.",Mapping
"The VIDCOIN API is a video advertising platform for mobile applications. It is used to monetize an application or game by implementing in-app content. It features direct response landing, and a clear interface. For publishers, it offers a specialized video format with smart video pre-loading, and global coverage (US, Europe, LATAM). The VIDCOIN API employs direct response tools with the purpose of acquiring qualified leads. This API requires registration to access developer's resources.",Advertising
"The Mailrelay API allows to implement email marketing services into applications. It provides JSON format and Api Key authentication. Functions demonstrate how to send emails, create campaigns, and manage subscribers. Mailrelay is an email marketing platform based in Madrid, Spain.",Email
"The Visible Measures True Reach API allows developers to explore campaign-level details for any piece of branded video content using its YouTube or Facebook URL. The details available through this API include the total number of creative executions, video uploads, views, comments, ratings, and more. Documentation for the API is available upon request.",Advertising
"The Dyn Email API allows to integrate email features into applications. Developers can call methods in HTTP/HTTPS formats and obtain responses in JSON, HTML, and XML. Api Key available. Dyn provides email services with monitoring, optimization, and internet intelligence.",Email
"The Tipimail API enables users to access their accounts for the Tipimail email delivery service from other applications, websites, or platforms. With the API, users can retrieve their data, send emails, and set their accounts. Tipimail can be used to create templates and customize email content. Users may use an email address from their own domain.",Email
"The Videolean API is a platform that aids in creating professional videos. A user selects a template from a variety of categories such as business, product, ecommerce, restaurants, etc ; then, customizes text, music, and other aspects of the video. This REST API returns calls in JSON format, and requires an API Key.",Video
"The Heartland Payment Systems API allows to integrate payments and billing functionalities into web services. Tokens and keys available to authenticate. Also accessible examples in C#, PHP, Java, Ruby, Python, and Node.js. Industries that can benefit from integration include restaurants, education K-12, retail, campus, grocery, parking, laundry, and petroleum. Heartland provides payroll, gift cards, point of sale, mobile payments, school solutions, school nutrition, and mobile ordering services.",Payments
"The PayPal Express Checkout API allows merchants to streamline the checkout process. When customers check out, they are redirected to Paypal.com from the merchant's site and then returned to the merchant's site for payment confirmation. Developers will need to have a PayPal merchant account in order to use this service.",Payments
The Khipu API allows developers integrate the ability to create charges and receive payments into their own websites and applications. Khipu is a Bolivian payment system that is based on simplified bank transfers. It is designed for use by both businesses and individuals. The website and API documentation are provided in Spanish.,Payments
"The CDYNE Phone Notify! API allows developers to deliver voice calls programmatically. The API provides methods for implementing phone numbers, voice calls, and conference calls. Users can send and receive up to 10,000 phone calls per minute using text-to-speech, recorded files, or both using CDYNE's network of geographically dispersed server farms.",Telephony
The DirectToMX REST and SOAP API allows developers to access and integrate the functionality of DirectToMX with other applications. The main API method is sending emails. DirectToMX is a platform for sending emails while bypassing the ISP/webhost's SMTP server.,Email
"The GoCardless Pro API allows developers to integrate a recurring payment system and is targeted to enterprises in Europe. API documentation includes how to make requests, time zones/dates, cursor pagination, response codes, and errors. Formats are available in JSON. Developers can authenticate with an API Key.",Payments
"The Slack SCIM API provides tools for use by SSO partners to help provision and manage user accounts and groups. The Slack SCIM API can be used to create a new user, update user information, update group membership, delete a user group, and more. The SCIM API is currently only available to Slack teams on the Plus Plan. Slack is a useful messaging application for developers for managing team communications.",Tools
"The PayTabs API allows to integrate payments features into web services, providing JSON and REST protocols accessible with an Api Key. In addition to payments, PayTabs offers eCommerce and invoicing services in the Middle East.",Payments
"The SocialAll API is a social media unifier, and combines several social networks with their respective functions. It features analytics, and offers one plan that supports 10,000 requests per month. This REST API uses Token for authentication. SandKlock is based in Vietnam, and develops e-commerce, data mining, and social network software.",Social
